network,avg_distance,avg_speed
00000,2209.9784543542883,7.865737495326494
00001,2260.518651650603,8.130739347833714
00002,2165.3993956479167,8.113985617797654
00003,2258.6126795467912,8.068081358737226
00004,2434.240381250868,8.38180073828156
00005,2321.533156660996,8.440181512467793
00006,2317.675508862596,8.195200441113554
00007,2452.109123861965,7.796957605851218
00008,2362.0371675393785,8.31103197473574
00009,2141.612765610955,8.212566158314246
00000,6574.25174558238,7.414982539009982
00001,5819.982801552515,7.819270762356566
00002,6133.862982271577,7.84881400736619
00003,6265.8473021091195,7.656016841425708
00004,6854.7769756094585,8.059654598012886
00005,5828.377174761761,7.774607665430121
00006,5580.247557111743,7.7371157809620215
00007,6089.818642096382,7.929213916332094
00008,4663.809459936893,7.443481554770625
00009,5334.554121230458,8.096468626749354
